DATA,QTDE_POSTOS_TRABALHO,QTDE_PLANTAO,QTDE_FALTAS,QTDE_FERIAS,QTDE_SAIDAANTECIPADA,QTDE_RECICLAGEM,QTDE_SUSPENSAO,QTDE_AUSENCIAS_FUNCIONARIO,QTDE_AUSENCIAS_GERAL
2021-08-25,267,15,5,7,1,1,0,6,14
2021-08-26,268,15,2,7,0,1,0,2,10
2021-08-27,270,18,5,7,1,1,1,7,15
2021-08-28,268,14,3,7,0,0,1,4,11
2021-08-29,269,17,5,7,1,0,1,7,14
2021-08-30,267,13,3,6,0,4,0,3,13
2021-08-31,268,19,7,6,0,4,0,7,17
2021-09-01,273,20,2,3,0,4,0,2,9
2021-09-02,275,21,8,3,1,4,0,9,16
2021-09-03,271,14,4,3,0,4,0,4,11
2021-09-04,271,24,7,3,0,0,0,7,10
2021-09-05,270,12,2,3,0,0,0,2,5
2021-09-06,270,25,6,3,0,3,0,6,12
2021-09-07,275,16,0,3,0,1,0,0,4
2021-09-08,271,27,5,4,0,2,0,5,11
2021-09-09,270,14,5,4,0,1,0,5,10
2021-09-10,273,25,4,3,0,2,1,5,10
2021-09-11,271,16,2,4,0,0,1,3,7
2021-09-12,272,20,1,4,0,0,1,2,6
2021-09-13,270,16,3,4,0,1,1,4,9
2021-09-14,271,24,5,5,0,1,2,7,13
2021-09-15,271,19,3,5,0,1,1,4,10
2021-09-16,271,22,5,4,0,1,1,6,11
2021-09-17,271,18,4,4,0,1,0,4,9
2021-09-18,273,22,5,4,1,0,0,6,10
2021-09-19,273,18,4,4,0,0,0,4,8
2021-09-20,274,24,5,4,0,0,0,5,9
2021-09-21,274,20,8,5,0,1,1,9,15
2021-09-22,276,24,8,5,1,0,0,9,14
2021-09-23,278,18,8,5,0,1,0,8,14
2021-09-24,279,27,5,5,0,0,0,5,10
2021-09-25,279,19,7,5,0,0,0,7,12
2021-09-26,279,20,5,5,0,0,0,5,10
2021-09-27,276,18,8,5,0,1,0,8,14
2021-09-28,279,20,10,5,0,1,0,10,16
2021-09-29,280,16,13,5,0,1,0,13,19
2021-09-30,278,23,9,5,0,1,0,9,15
2021-10-01,286,19,8,3,0,1,0,8,12
2021-10-02,285,27,5,3,1,0,0,6,9
2021-10-03,285,15,3,3,0,0,0,3,6
2021-10-04,284,28,5,3,1,0,0,6,9
2021-10-05,284,18,8,3,0,1,0,8,12
2021-10-06,283,28,11,3,0,0,0,11,14
2021-10-07,282,20,5,3,1,1,1,7,11
2021-10-08,287,27,8,3,2,0,0,10,13
2021-10-09,282,19,6,3,0,0,0,6,9
2021-10-10,282,20,3,3,1,0,0,4,7
2021-10-11,281,20,4,2,2,1,0,6,9
2021-10-12,285,20,2,2,0,1,1,3,6
2021-10-13,282,22,4,2,3,1,2,9,12
2021-10-14,284,22,10,2,0,1,1,11,14
2021-10-15,284,19,3,2,2,1,0,5,8
2021-10-16,283,19,11,2,1,0,0,12,14
2021-10-17,283,14,1,2,1,0,0,2,4
2021-10-18,284,21,9,2,0,1,0,9,12
2021-10-19,283,16,3,2,0,0,0,3,5
2021-10-20,285,24,9,2,0,1,0,9,12
2021-10-21,288,17,4,2,0,0,1,5,7
2021-10-22,290,22,6,2,1,1,1,8,11
2021-10-23,288,20,3,2,0,0,1,4,6
2021-10-24,286,16,4,2,1,0,0,5,7
2021-10-25,285,22,4,2,0,7,1,5,14
2021-10-26,285,19,4,2,1,6,0,5,13
2021-10-27,286,24,3,2,0,7,0,3,12
2021-10-28,287,22,6,2,0,6,0,6,14
2021-10-29,288,23,7,2,2,7,0,9,18
2021-10-30,293,23,4,2,0,0,0,4,6
2021-10-31,293,32,8,0,0,0,0,8,8
2021-11-01,292,34,1,4,1,7,1,3,14
2021-11-02,295,30,6,4,0,6,0,6,16
2021-11-03,292,23,5,4,0,6,0,5,15
2021-11-04,296,17,7,4,0,6,0,7,17
2021-11-05,295,25,7,4,0,6,0,7,17
2021-11-06,297,17,12,4,2,0,0,14,18
2021-11-07,292,23,6,4,0,0,0,6,10
2021-11-08,294,18,7,4,2,2,2,11,17
2021-11-09,293,29,4,4,0,3,0,4,11
2021-11-10,294,16,4,4,0,2,0,4,10
2021-11-11,296,26,4,4,0,3,1,5,12
2021-11-12,295,17,6,4,0,2,0,6,12
2021-11-13,296,28,6,4,4,0,0,10,14
2021-11-14,295,13,3,4,1,0,0,4,8
2021-11-15,297,29,3,4,0,2,0,3,9
2021-11-16,294,18,4,4,4,3,0,8,15
2021-11-17,294,27,6,4,2,2,0,8,14
2021-11-18,294,19,4,5,0,3,0,4,12
2021-11-19,295,26,4,6,1,2,0,5,13
2021-11-20,298,18,2,5,0,0,0,2,7
2021-11-21,293,21,3,4,0,0,0,3,7
2021-11-22,298,21,6,4,2,4,0,8,16
2021-11-23,299,24,6,4,0,5,0,6,15
2021-11-24,301,18,4,4,0,4,1,5,13
2021-11-25,297,25,5,4,1,5,1,7,16
2021-11-26,297,19,6,4,0,4,1,7,15
2021-11-27,296,26,6,4,1,1,0,7,12
2021-11-28,296,12,3,4,0,0,0,3,7
2021-11-29,294,27,6,4,0,3,1,7,14
2021-11-30,294,15,5,4,0,1,1,6,11
2021-12-01,297,33,4,3,0,3,1,5,11
2021-12-02,297,24,5,3,2,1,0,7,11
2021-12-03,296,32,5,3,1,3,0,6,12
2021-12-04,294,23,5,4,0,0,0,5,9
2021-12-05,289,25,2,4,0,0,1,3,7
2021-12-06,290,24,5,4,0,2,1,6,12
2021-12-07,291,26,2,4,0,2,1,3,9
2021-12-08,290,19,5,4,0,2,0,5,11
2021-12-09,286,25,8,4,1,2,0,9,15
2021-12-10,288,23,6,4,1,2,0,7,13
2021-12-11,290,34,8,4,2,0,0,10,14
2021-12-12,288,21,1,4,0,0,0,1,5
2021-12-13,287,31,9,4,2,2,0,11,17
2021-12-14,288,24,11,4,1,1,0,12,17
2021-12-15,291,30,10,4,1,2,1,12,18
2021-12-16,290,23,11,4,0,1,1,12,17
2021-12-17,294,31,10,4,0,1,1,11,16
2021-12-18,291,20,12,4,0,0,1,13,17
2021-12-19,290,28,2,4,0,0,1,3,7
2021-12-20,292,20,8,4,0,1,0,8,13
2021-12-21,291,28,13,4,2,1,0,15,20
2021-12-22,289,22,7,4,1,1,0,8,13
2021-12-23,290,26,5,4,0,1,0,5,10
2021-12-24,290,23,7,4,0,1,1,8,13
2021-12-25,292,27,5,4,0,0,0,5,9
2021-12-26,289,21,1,4,0,0,0,1,5
2021-12-27,289,28,8,4,2,0,0,10,14
2021-12-28,289,19,12,4,0,0,0,12,16
2021-12-29,289,29,5,4,1,0,1,7,11
2021-12-30,292,24,6,4,0,0,1,7,11
2021-12-31,292,33,1,1,0,0,1,2,3
